AP_DEP,AP_ARR,DEPART_PROG,HEURE_DEP,RETARD_DEPART,TAXI_TIME,TEMPS_VOL,DISTANCE,ARRIVEE_PROG,RETARD_ARRIVEE,DATE,COMPAGNIE,NOM_COMPAGNIE,NOM_AP_DEP,VILLE_DEP,PAYS_DEP,LON_DEP,LAT_DEP,HAUTEUR_DEP,COUT_10_DEP,COUT_SUP_DEP,NOM_AP_ARR,VILLE_ARR,PAYS_ARR,LON_ARR,LAT_ARR,HAUTEUR_ARR,COUT_10_ARR,COUT_SUP_ARR,ANNEE,MOIS,JOUR_SEM,HEURE_DEP_H,RETARD_BIN,RETARD_SEVERE,COUT_TOTAL,NOM_MOIS,NOM_JOUR,CRENEAU,SEGMENT_DIST
ISB,HAN,1320,1310.0,-10.0,9.0,136.0,853,1636,-19.0,2016-09-22,AAPF,Always A Problem Flights,New Islamabad International Airport,Islamabad,Pakistan,72.851613,33.560713,1646.0,5046,845,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,2016,9,3,13,0,0,14963,Sep,Jeu,Midi (12-14h),Moyen (500-1500km)
TIA,BRU,1805,1811.0,6.0,18.0,70.0,236,1915,3.0,2017-07-28,NVPPA,Ne Va Pas Partout Airlines,Tirana International Airport Mother Teresa,Tirana,Albanie,19.7206001282,41.4146995544,126.0,4582,586,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2017,7,4,18,0,0,10293,Jul,Ven,Soirée (18-20h),Court (<500km)
KWL,BRU,1135,1129.0,-6.0,21.0,390.0,2475,1505,-31.0,2017-01-23,NVPPA,Ne Va Pas Partout Airlines,Guilin Liangjiang International Airport,Guilin City,Chine,110.03900146484376,25.21809959411621,570.0,2309,422,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2017,1,0,11,0,0,7856,Jan,Lun,Matin (9-11h),Long (1500-3000km)
LHR,HAN,852,858.0,6.0,13.0,148.0,826,1020,3.0,2016-09-11,THA,Try Hard Airlines,London Heathrow Airport,London,Royaume-Uni,-0.461941,51.4706,83.0,5863,538,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,2016,9,6,8,0,0,15473,Sep,Dim,Tôt matin (6-8h),Moyen (500-1500km)
BSL,JNB,630,623.0,-7.0,28.0,75.0,325,845,5.0,2017-02-02,NA,Neverland Airlines,EuroAirport Basel-Mulhouse-Freiburg Airport,BÃ¢le/Mulhouse,France,7.5291667,47.59,885.0,1771,194,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,2017,2,3,6,0,0,4696,Fév,Jeu,Tôt matin (6-8h),Court (<500km)
BRU,BWN,59,55.0,-4.0,16.0,219.0,1619,638,-12.0,2016-03-22,NVPPA,Ne Va Pas Partout Airlines,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,Brunei International Airport,Bandar Seri Begawan,Brunei,114.9280014038086,4.944200038909912,73.0,4993,299,2016,3,1,0,0,0,10417,Mar,Mar,Nuit (0-5h),Long (1500-3000km)
DSS,AAL,700,656.0,-4.0,13.0,133.0,528,813,-30.0,2017-12-16,NVPPA,Ne Va Pas Partout Airlines,Blaise Diagne International Airport,Dakar,Sénégal,-17.073333,14.67,290.0,5499,120,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,2017,12,5,6,0,0,14318,Déc,Sam,Tôt matin (6-8h),Moyen (500-1500km)
BRU,DXB,1815,1814.0,-1.0,14.0,173.0,1235,2308,-1.0,2017-01-23,COA,Corporate Overlord Airways,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2017,1,0,18,0,0,12359,Jan,Lun,Soirée (18-20h),Moyen (500-1500km)
ISB,AAL,1500,1454.0,-6.0,13.0,202.0,1532,2022,-13.0,2018-09-23,NVPPA,Ne Va Pas Partout Airlines,New Islamabad International Airport,Islamabad,Pakistan,72.851613,33.560713,1646.0,5046,845,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,2018,9,6,14,0,0,14590,Sep,Dim,Midi (12-14h),Long (1500-3000km)
JNB,TIA,2240,2240.0,0.0,16.0,64.0,255,2344,1.0,2017-07-31,COA,Corporate Overlord Airways,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,Tirana International Airport Mother Teresa,Tirana,Albanie,19.7206001282,41.4146995544,126.0,4582,586,2017,7,0,22,0,0,7899,Jul,Lun,Nuit tardive (21-24h),Court (<500km)
BRU,SHJ,600,556.0,-4.0,20.0,246.0,1744,1206,-22.0,2018-05-17,THA,Try Hard Airlines,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2018,5,3,5,0,0,13707,Mai,Jeu,Nuit (0-5h),Long (1500-3000km)
RUH,DXB,625,634.0,9.0,9.0,204.0,1431,1149,-1.0,2016-02-25,COA,Corporate Overlord Airways,King Khaled International Airport,Riyadh,Arabie saoudite,46.69879913330078,24.957599639892575,2049.0,8146,370,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2016,2,3,6,0,0,15750,Fév,Jeu,Tôt matin (6-8h),Moyen (500-1500km)
AGP,COK,930,928.0,-2.0,9.0,68.0,270,1038,-14.0,2018-12-01,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Cochin International Airport,Kochi,Inde,76.401901,10.152,30.0,5725,352,2018,12,5,9,0,0,6991,Déc,Sam,Matin (9-11h),Court (<500km)
SHJ,AMM,1346,1347.0,1.0,17.0,118.0,646,1644,-7.0,2018-07-01,THA,Try Hard Airlines,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,Queen Alia International Airport,Amman,Jordanie,35.9931983948,31.7226009369,2395.0,7452,781,2018,7,6,13,0,0,16815,Jul,Dim,Midi (12-14h),Moyen (500-1500km)
COK,MPM,1849,1846.0,-3.0,11.0,141.0,817,2010,4.0,2016-06-27,I6F,IE 6.0 Flights,Cochin International Airport,Kochi,Inde,76.401901,10.152,30.0,5725,352,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,2016,6,0,18,0,0,10867,Jun,Lun,Soirée (18-20h),Moyen (500-1500km)
VIE,MRS,1642,1639.0,-3.0,18.0,51.0,216,1733,3.0,2017-05-14,AP,Air Penguin,Vienna International Airport,Vienna,Autriche,16.569700241089,48.110298156738,600.0,8191,90,Marseille Provence Airport,Marseille,France,5.22142410278,43.439271922,74.0,5614,937,2017,5,6,16,0,0,14832,Mai,Dim,Après-midi (15-17h),Court (<500km)
HAN,DME,1855,1902.0,7.0,17.0,43.0,73,1938,11.0,2017-12-09,MAF,Morally Ambiguious Fligthts,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,Domodedovo International Airport,Moscow,Russie,37.90629959106445,55.40879821777344,588.0,4771,757,2017,12,5,19,0,0,14600,Déc,Sam,Soirée (18-20h),Court (<500km)
SKP,HAN,1322,1315.0,-7.0,7.0,86.0,406,1448,-14.0,2017-09-22,THA,Try Hard Airlines,Skopje Alexander the Great Airport,Skopje,Macédoine du Nord,21.621401,41.961601,781.0,6090,684,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,2017,9,4,13,0,0,15846,Sep,Ven,Midi (12-14h),Court (<500km)
SHJ,BRU,1400,1403.0,3.0,19.0,276.0,1744,1636,4.0,2018-08-03,COA,Corporate Overlord Airways,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2018,8,4,14,0,0,13707,Aoû,Ven,Midi (12-14h),Long (1500-3000km)
SXF,VIE,905,918.0,13.0,31.0,330.0,2398,1235,15.0,2017-12-14,THA,Try Hard Airlines,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,Vienna International Airport,Vienna,Autriche,16.569700241089,48.110298156738,600.0,8191,90,2017,12,3,9,0,0,11117,Déc,Jeu,Matin (9-11h),Long (1500-3000km)
QUO,CTU,2053,2040.0,-13.0,10.0,113.0,594,2246,-20.0,2016-12-09,I6F,IE 6.0 Flights,Akwa Ibom International Airport,Uyo,Nigeria,8.093,4.8725,170.0,6076,91,Chengdu Shuangliu International Airport,Chengdu,Chine,103.9469985961914,30.578500747680664,1625.0,4289,838,2016,12,4,20,0,0,11294,Déc,Ven,Soirée (18-20h),Moyen (500-1500km)
KIX,LTN,2200,2156.0,-4.0,17.0,62.0,272,2302,0.0,2018-06-19,MAF,Morally Ambiguious Fligthts,Kansai International Airport,Osaka,Japon,135.24400329589844,34.42729949951172,26.0,1547,546,London Luton Airport,London,Royaume-Uni,-0.3683330118656158,51.874698638916016,526.0,1103,806,2018,6,1,21,0,0,4002,Jun,Mar,Nuit tardive (21-24h),Court (<500km)
AGP,SEZ,1911,1906.0,-5.0,14.0,99.0,481,2050,-20.0,2018-07-12,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Seychelles International Airport,Mahe Island,Seychelles,55.521801,-4.67434,10.0,9364,417,2018,7,3,19,0,0,10695,Jul,Jeu,Soirée (18-20h),Court (<500km)
SHJ,VCE,2055,2052.0,-3.0,12.0,52.0,173,2147,-6.0,2017-01-15,SMITH,Bel Air,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,Venice Marco Polo Airport,Venice,Italie,12.3519,45.505299,7.0,2143,434,2017,1,6,20,0,0,11159,Jan,Dim,Soirée (18-20h),Court (<500km)
ALG,CTU,1940,1938.0,-2.0,21.0,154.0,937,2214,-5.0,2017-11-28,OA,Overpriced Air,Houari Boumediene Airport,Algiers,Algérie,3.215409994125366,36.69100189208984,82.0,5654,786,Chengdu Shuangliu International Airport,Chengdu,Chine,103.9469985961914,30.578500747680664,1625.0,4289,838,2017,11,1,19,0,0,11567,Nov,Mar,Soirée (18-20h),Moyen (500-1500km)
LTK,KRK,659,653.0,-6.0,11.0,184.0,1096,1003,-11.0,2017-09-11,COA,Corporate Overlord Airways,Bassel Al-Assad International Airport,Latakia,Syrie,35.948699951171875,35.401100158691406,157.0,9021,425,KrakÃ³w John Paul II International Airport,KrakÃ³w,Pologne,19.7848,50.077702,791.0,6705,539,2017,9,0,6,0,0,16690,Sep,Lun,Tôt matin (6-8h),Moyen (500-1500km)
DUR,SHJ,715,750.0,35.0,12.0,182.0,867,917,15.0,2018-02-24,OA,Overpriced Air,King Shaka International Airport,Durban,Afrique du Sud,31.1197222222,-29.6144444444,295.0,5737,823,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2018,2,5,7,0,0,15142,Fév,Sam,Tôt matin (6-8h),Moyen (500-1500km)
DXB,HET,1515,1512.0,-3.0,13.0,58.0,190,1613,-10.0,2017-09-23,I6F,IE 6.0 Flights,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Baita International Airport,Hohhot,Chine,111.823997,40.851398,3556.0,6804,730,2017,9,5,15,0,0,14768,Sep,Sam,Après-midi (15-17h),Court (<500km)
HAN,BRU,805,802.0,-3.0,10.0,148.0,862,933,6.0,2017-02-09,THA,Try Hard Airlines,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2017,2,3,8,0,0,14197,Fév,Jeu,Tôt matin (6-8h),Moyen (500-1500km)
BRU,SHJ,1002,1000.0,-2.0,13.0,248.0,1744,1610,-11.0,2016-01-26,THA,Try Hard Airlines,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2016,1,1,10,0,0,13707,Jan,Mar,Matin (9-11h),Long (1500-3000km)
DLC,BRU,620,614.0,-6.0,13.0,264.0,1797,844,-15.0,2016-07-17,COA,Corporate Overlord Airways,Zhoushuizi Airport,Dalian,Chine,121.53900146484376,38.9656982421875,107.0,7443,867,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2016,7,6,6,0,0,13435,Jul,Dim,Tôt matin (6-8h),Long (1500-3000km)
HAN,LTK,1730,,,,219.0,1620,2309,,2016-03-05,THA,Try Hard Airlines,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,Bassel Al-Assad International Airport,Latakia,Syrie,35.948699951171875,35.401100158691406,157.0,9021,425,2016,3,5,,0,0,18518,Mar,Sam,,Long (1500-3000km)
TNA,DSS,1800,1803.0,3.0,10.0,110.0,500,1950,-21.0,2017-03-27,NA,Neverland Airlines,Yaoqiang Airport,Jinan,Chine,117.21600341796876,36.857200622558594,76.0,2066,795,Blaise Diagne International Airport,Dakar,Sénégal,-17.073333,14.67,290.0,5499,120,2017,3,0,18,0,0,8480,Mar,Lun,Soirée (18-20h),Court (<500km)
AAL,BOH,700,656.0,-4.0,22.0,151.0,980,1031,-6.0,2016-07-10,COA,Corporate Overlord Airways,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,Bournemouth Airport,Bournemouth,Royaume-Uni,-1.8424999713897705,50.779998779296875,38.0,3147,278,2016,7,6,6,0,0,12124,Jul,Dim,Tôt matin (6-8h),Moyen (500-1500km)
FAO,AGP,1450,1450.0,0.0,11.0,114.0,545,1644,-15.0,2017-09-14,NVPPA,Ne Va Pas Partout Airlines,Faro Airport,Faro,Portugal,-7.96590995789,37.0144004822,24.0,2954,461,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2017,9,3,14,0,0,4329,Sep,Jeu,Midi (12-14h),Moyen (500-1500km)
AGP,KAN,1630,1628.0,-2.0,11.0,139.0,721,1749,-23.0,2018-06-25,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Mallam Aminu International Airport,Kano,Nigeria,8.52462,12.0476,1562.0,1324,862,2018,6,0,16,0,0,3100,Jun,Lun,Après-midi (15-17h),Moyen (500-1500km)
